"subject","condition","stim_distance","stim_heading","stim_number","estimate_type","rt","subject_estimate","units_used","nswitches","time_in_SL","time_in_WL","firstview","lastview","first_instr","browserinfo","windowWidth","windowHeight"
"6bcd49af023f477bbf37","SL",15,-10,6,"Heading","4069.97000006959",10,"",0,2424.25999999978,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",50,-30,6,"Distance","3227.10000001825",30,"feet",0,12012.3749999329,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",150,-20,3,"Distance","3137.49999995343",60,"feet",0,1960.57999995537,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",100,0,6,"Distance","2477.60500002187",50,"feet",0,1951.59999991301,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",150,-20,1,"Heading","3341.09500003979",40,"",0,1682.31499998365,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",25,0,1,"Heading","2592.65000000596",10,"",0,2136.95499999449,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",100,-30,6,"Distance","3760.17000002321",40,"feet",0,1377.63000000268,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",25,-30,1,"Heading","2761.95499999449",10,"",0,1639.74999997299,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",100,-30,1,"Distance","3065.36999996752",40,"feet",0,2769.6200000355,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
"6bcd49af023f477bbf37","SL",75,-20,3,"Distance","6122.8650000412",35,"feet",0,1841.58499992918,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.212 Safari/537.36",1297,768
