"subject","condition","stim_distance","stim_heading","stim_number","estimate_type","rt","subject_estimate","units_used","nswitches","time_in_SL","time_in_WL","firstview","lastview","first_instr","browserinfo","windowWidth","windowHeight","dist_meters","estimate_err"
"sub15","SL",75,-10,6,"Number","3484.93000003509",40,"",0,2313.1150000263,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,40,34
"sub15","SL",75,-20,1,"Number","5256.90999999642",60,"",0,3951.04499999434,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,60,59
"sub15","SL",100,-20,6,"Number","3068.97500017658",120,"",0,1436.02999998257,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,120,114
"sub15","SL",15,0,3,"Number","3677.83999978565",120,"",0,1534.06500001438,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,120,117
"sub15","SL",25,-10,3,"Number","5171.8450000044",210,"",0,2112.16500005685,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,210,207
"sub15","SL",25,-20,3,"Number","4507.7750000637",121,"",0,1656.23500011861,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,121,118
"sub15","SL",15,0,1,"Number","3024.80500005186",121,"",0,1314.7699998226,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,121,120
"sub15","SL",15,-20,3,"Number","4009.62499994785",12,"",0,1300.9299999103,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,12,9
"sub15","SL",200,-20,3,"Number","2723.32000010647",40,"",0,1426.95499979891,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,40,37
"sub15","SL",50,-20,3,"Number","3732.65999997966",41,"",0,1253.84999997914,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,41,38
"sub15","SL",200,0,3,"Number","3379.50499984436",45,"",0,1333.55499990284,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,45,42
"sub15","SL",75,-20,3,"Number","2756.77499989979",45,"",0,1379.2699999176,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,45,42
"sub15","SL",75,0,1,"Number","2229.93000014685",45,"",0,1263.3799999021,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,45,44
"sub15","SL",75,0,6,"Number","2560.9500000719",120,"",0,1461.6199999582,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,120,114
"sub15","SL",100,-30,3,"Number","5869.48999995366",22,"",0,1272.51000003889,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,22,19
"sub15","SL",200,-30,1,"Number","2518.1599999778",12,"",0,1093.48000003956,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,12,11
"sub15","SL",150,0,6,"Number","2854.24000001512",120,"",0,1123.27000009827,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,120,114
"sub15","SL",25,-30,1,"Number","2424.18499989435",45,"",0,1295.30999995768,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,45,44
"sub15","SL",25,-30,3,"Number","2472.22000011243",42,"",0,1099.12499994971,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,42,39
"sub15","SL",100,-20,3,"Number","2151.22500015423",12,"",0,1072.11000006646,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,12,9
"sub15","SL",15,-10,3,"Number","2307.88500001654",45,"",0,1412.50499989837,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,45,42
"sub15","SL",200,-20,1,"Number","2019.14999983273",142,"",0,838.264999911189,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,142,141
"sub15","SL",25,-30,6,"Number","3332.84000004642",44,"",0,1400.42999992147,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,44,38
"sub15","SL",150,-10,6,"Number","5110.60000001453",120,"",0,1198.60999984667,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,120,114
"sub15","SL",15,-20,1,"Number","4359.64499996044",456,"",0,1718.8600001391,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,456,455
"sub15","SL",200,-30,6,"Number","2792.57499985397",123,"",0,1355.82000017166,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,123,117
"sub15","SL",25,-10,6,"Number","1908.7849999778",25,"",0,1280.28999990784,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,25,19
"sub15","SL",150,0,3,"Number","2159.84999993816",55,"",0,996.7399998568,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,55,52
"sub15","SL",150,-30,6,"Number","2247.80500004999",25,"",0,1052.8049999848,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,25,19
"sub15","SL",75,0,3,"Number","1713.80000002682",525,"",0,1105.68500007503,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,525,522
"sub15","SL",75,-20,6,"Number","2429.44000009447",45,"",0,1062.45999992825,0,NA,NA,NA,"Mozilla/5.0 (Windows NT 6.3; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/89.0.4389.114 Safari/537.36",1299,626,45,39
